Product_Name,Price,Speed,Control,Weight (g)
Donic World Champion 89 - Persson OFF+,89.25,100.0,70.0,85.0
Donic World Champion 89 - Waldner OFF,129.99,80.0,95.0,85.0
Donier Offensive ,19.99,91.0,85.0,86.0
Donier RR+ ,64.99,91.0,85.0,90.0
Gambler Blackout Max Speed Carbon ,40.0,90.0,78.10126582278481,85.0
Gambler Exotic Zebra Wood Carbon,32.0,85.0,78.10126582278481,85.0
Gambler Rose Wood Carbon,32.0,91.0,78.10126582278481,86.0
Gambler Vector Hinoki,40.0,87.49586776859505,78.10126582278481,85.3443113772455
Gambler Vector Target,40.0,77.0,78.10126582278481,79.0
Gambler Wing Wood Carbon,32.0,84.0,78.10126582278481,84.0
Gambler Zen,16.0,70.0,85.0,82.0
GEWO Allround Classic,39.99,84.0,90.0,80.0
GEWO Alvaro Robles Off,69.99,96.0,90.0,90.0
GEWO Alvaro Robles Off-,54.99,90.0,96.0,80.0
GEWO Aruna Energy ARC,99.99,103.0,84.0,90.0
GEWO Aruna Hinoki Carbon,149.99,101.0,88.0,90.0
GEWO Aruna Off,94.99,91.0,88.0,90.0
GEWO Balsa Carbon 375,64.99,84.0,99.0,75.0
GEWO Balsa Carbon 575,64.99,94.0,90.0,75.0
GEWO Balsa Carbon 775,64.99,99.0,84.0,80.0
GEWO Bence Majoros Off,64.99,102.0,88.0,90.0
GEWO Dynatec ZV,69.99,94.0,100.0,88.0
GEWO Force ARC,99.99,97.0,85.0,85.0
GEWO Hybrid Carbon A/Speed All+,49.99,89.0,100.0,80.0
GEWO Hybrid Carbon M/Speed Off-,49.99,92.0,96.0,80.0
GEWO Hybrid Carbon X/Speed Off,49.99,87.49586776859505,78.10126582278481,85.3443113772455
GEWO Power Control,37.99,86.0,89.0,80.0
GEWO Zoom Balance All+,39.99,86.0,99.0,85.0
GEWO Zoom Pro Off-,39.99,78.0,79.0,82.0
JOOLA Air Carbon,144.95,92.0,54.0,72.0
JOOLA Air Fibre,129.95,93.0,60.0,60.0
JOOLA Aruna Off,89.95,90.0,75.0,88.0
JOOLA Aruna Off+,94.95,95.0,67.0,90.0
JOOLA Black Rose,89.95,100.0,68.0,92.0
JOOLA Challenger All,29.95,87.0,92.0,90.0
JOOLA Challenger Carbon,39.95,97.0,76.0,90.0
JOOLA Challenger Off,34.95,93.0,84.0,90.0
JOOLA Chen Defender,54.95,55.0,104.0,90.0
JOOLA Chen Weixing,59.95,60.0,95.0,90.0
JOOLA Chen Weixing Jr,29.95,50.0,98.0,80.0
JOOLA Classic All,34.95,88.0,96.0,80.0
JOOLA Classic Carbon Off,54.95,99.0,81.0,90.0
JOOLA Classic Off,39.95,94.0,88.0,90.0
JOOLA Colt Off Control,69.95,82.0,69.0,85.0
JOOLA Colt Off Speed,69.95,85.0,62.0,80.0
JOOLA Eagle Fast,47.95,83.0,85.0,72.0
JOOLA Eagle II Carbon,54.95,93.0,61.0,89.0
JOOLA Eagle II Fast,49.95,84.0,83.0,89.0
JOOLA Eagle II Medium,44.94,69.0,76.0,90.0
JOOLA Eagle Medium,39.95,68.0,80.0,77.0
JOOLA Energon Super PBO-c,269.95,110.0,50.0,93.0
JOOLA Falcon Fast,34.95,83.0,90.0,82.0
JOOLA Falcon Fast Plus,39.95,85.0,78.0,82.0
JOOLA Falcon Medium,29.95,75.0,100.0,80.0
JOOLA Fever,99.95,90.0,85.0,87.0
JOOLA Greenline Extreme,99.95,90.0,78.0,87.0
JOOLA K5,59.95,78.0,95.0,85.0
JOOLA K6,64.95,93.0,60.0,90.0
JOOLA K7,69.95,95.0,60.0,90.0
JOOLA Mattenet All+,49.95,80.0,91.0,85.0
JOOLA Mattenet Off,59.95,87.0,86.0,85.0
JOOLA Mikado All+,39.95,68.0,98.0,82.0
JOOLA Mikado Off,44.95,85.0,88.0,82.0
JOOLA Mikado Off+,49.95,95.0,80.0,87.0
JOOLA Nobilis PBO-c,189.95,108.0,52.0,87.0
JOOLA O Degree Allround,34.95,63.0,79.0,80.0
JOOLA O Degree Carbon,59.95,80.0,72.0,80.0
JOOLA O Degree Offense,44.95,70.0,77.0,80.0
JOOLA Quattro Carbon,149.95,113.0,48.0,83.0
JOOLA Rossi Emotion,89.95,90.0,73.0,87.0
JOOLA Rossi Emotion PBO-c,219.95,87.49586776859505,78.10126582278481,93.0
JOOLA Rossi Fire,49.95,80.0,80.0,85.0
JOOLA Rossi Force,83.95,93.0,68.0,90.0
JOOLA Rossi Jr,37.95,63.0,88.0,80.0
JOOLA Rosskopf Allround,44.95,65.0,90.0,90.0
JOOLA Solja Off Minus,99.95,91.0,82.0,87.0
JOOLA Solja Off Plus,119.95,96.0,71.0,90.0
JOOLA Spirit OFF,59.95,88.0,70.0,85.0
JOOLA Spirit OFF+,64.95,98.0,55.0,90.0
JOOLA Toni Hold White Spot,44.95,53.0,100.0,85.0
JOOLA Torre All+,34.95,72.0,76.0,85.3443113772455
JOOLA Torre Carbon,49.95,79.0,66.0,85.3443113772455
JOOLA Torre Off,39.95,76.0,68.0,85.3443113772455
JOOLA TPE Feeling,79.95,85.0,98.0,90.0
JOOLA TPE Feeling XS,79.95,85.0,98.0,90.0
JOOLA TPE Fight,149.95,100.0,78.0,92.0
JOOLA TPE Nature,74.95,88.0,90.0,87.0
JOOLA TPE Perform,99.95,103.0,73.0,87.0
JOOLA Viking,69.95,95.0,74.0,87.0
JOOLA Viva,54.95,80.0,100.0,85.0
JOOLA Wing Medium,59.95,70.0,88.0,80.0
JOOLA Wing Medium Jr,49.95,70.0,88.0,80.0
JOOLA ZeLeBRO PBO-c,169.95,105.0,55.0,90.0
Nittaku Acoustic,159.99,86.0,67.0,85.3443113772455
Nittaku Acoustic Carbon,168.95,92.0,65.0,85.3443113772455
Nittaku Violin,164.95,88.0,65.0,88.0
Sanwei Accumulator J,8.95,87.49586776859505,78.10126582278481,85.3443113772455
Sanwei Feather Carbon,34.95,87.49586776859505,78.10126582278481,85.3443113772455
Sanwei Fextra,29.95,87.49586776859505,78.10126582278481,89.0
Sanwei HC Speed Light,35.95,87.49586776859505,78.10126582278481,85.3443113772455
Sanwei LD Light,18.95,87.49586776859505,78.10126582278481,85.3443113772455
Sanwei M8,9.99,87.49586776859505,78.10126582278481,85.3443113772455
Sanwei Multilayer C,34.95,87.49586776859505,78.10126582278481,85.3443113772455
Sanwei Multilayer W,29.95,87.49586776859505,78.10126582278481,85.3443113772455
Sanwei Pro F3,39.95,87.49586776859505,78.10126582278481,90.0
Sanwei Pro V5,39.95,87.49586776859505,78.10126582278481,90.0
Sanwei V1,19.95,87.49586776859505,78.10126582278481,85.3443113772455
Stiga Allround Classic ,36.99,73.0,77.0,85.0
Stiga Allround Classic - Chinese Penhold ,42.95,73.0,84.0,80.0
Stiga Allround Classic Carbon,74.95,82.0,76.0,81.0
Stiga Allround Classic WRB,42.95,75.0,76.0,77.0
Stiga Allround CR WRB - Chinese Penhold ,44.95,69.0,80.0,75.0
Stiga Carbonado 145,199.95,98.0,60.0,90.0
Stiga Carbonado 290,164.41,99.0,58.0,97.0
Stiga Celero Wood,59.95,86.0,70.0,90.0
Stiga Clipper Classic,69.95,88.0,62.0,95.0
Stiga Clipper CR,76.95,91.0,65.0,87.0
Stiga Clipper CR WRB,76.95,90.0,63.0,87.0
Stiga Clipper WRB ,69.99,87.49586776859505,78.10126582278481,85.3443113772455
Stiga Defensive Pro,84.95,80.0,77.0,80.0
Stiga Eternity VPS V,89.95,90.0,64.0,90.0
Stiga Infinity VPS V Diamond Touch,74.95,88.0,65.0,83.0
Stiga Intensity NCT,129.95,88.0,68.0,82.0
Stiga Nostalgic VII,114.95,93.0,64.0,80.0
Stiga Offensive Classic ,49.95,81.0,74.0,81.0
Stiga Offensive Classic Carbon,89.95,93.0,62.0,82.0
Stiga Offensive Classic WRB,54.95,84.0,72.0,78.0
Stiga Offensive Wood NCT,54.95,89.0,67.0,83.0
Stiga Rosewood NCT V,169.95,86.0,69.0,93.0
Stiga Rosewood NCT VII,174.95,91.0,60.0,97.0
TSP Special Dynam 10.0 - Japanese Penhol...,179.99,100.0,40.0,93.0
TSP Special Dynam 9.0 - Japanese Penhold,179.99,100.0,40.0,87.0
TSP Spin Ace Carbon - Japanese Penhold,71.99,100.0,80.0,60.0
TSP Stash,24.29,81.0,85.0,85.0
Victas Fire Fall AC,109.99,96.0,79.0,84.0
Victas Fire Fall FC,99.99,92.0,86.0,84.0
Victas Fire Fall SC,109.99,94.0,81.0,84.0
Victas Fire Fall VC,169.99,96.0,79.0,92.0
Victas Koji Matsushita,87.99,55.0,91.0,85.0
Victas Koji Matsushita Defensive,87.99,52.0,94.0,83.0
Victas Koji Matsushita Offensive,87.99,62.0,87.0,94.0
Victas Koji Matsushita Special,129.99,78.0,99.0,90.0
Victas Koki Niwa,129.99,97.0,80.0,88.0
Victas ZX-Gear Fiber,99.95,87.0,80.0,85.0
Victas ZX-Gear In,119.99,89.0,80.0,89.0
Victas ZX-Gear Out,119.99,89.0,80.0,89.0
XIOM Allround S,54.99,73.0,77.0,85.0
XIOM Feel SX,59.95,84.0,65.0,92.0
XIOM Feel ZX1,69.95,92.0,64.0,93.0
XIOM Ice Cream AZXi,199.95,92.0,80.0,90.0
XIOM Offensive S,59.99,82.0,74.0,87.0
Yasaka 2040,29.95,74.0,82.0,79.0
Yasaka Allround Plus,41.95,79.0,75.0,88.0
Yasaka Balsa Wood,39.95,89.0,74.0,65.0
Yasaka Battle Balsa,39.95,93.0,71.0,75.0
Yasaka Battle Balsa - Chinese Penhold,39.95,93.0,71.0,67.0
Yasaka Carbon 3D,49.95,89.0,79.0,90.0
Yasaka Dynamix 17,72.95,92.0,55.0,90.0
Yasaka Ebony Carbon,65.85,98.0,52.0,90.0
Yasaka Extra 3D,42.95,80.0,85.0,83.0
Yasaka Extra 3D Soft Carbon,58.95,89.0,82.0,89.0
Yasaka Extra 7,39.95,90.0,80.0,90.0
Yasaka Extra Offensive 7 Power,59.95,100.0,75.0,90.0
Yasaka Extra Special,53.95,91.0,66.0,88.0
Yasaka Extra Special - Chinese Penhold,74.95,91.0,66.0,88.0
Yasaka Galaxya,41.95,95.0,64.0,92.0
Yasaka Galaxya - Chinese Penhold,41.95,95.0,64.0,92.0
Yasaka Galaxya Carbon,49.95,99.0,68.0,90.0
Yasaka Goiabao 5,43.95,92.0,63.0,86.0
Yasaka Goiabao 5 - Chinese Penhold,43.95,92.0,63.0,86.0
Yasaka Ma Lin Carbon,59.95,93.0,75.0,84.0
Yasaka Ma Lin Carbon - Chinese Penhold,59.95,93.0,75.0,88.0
Yasaka Ma Lin Extra Offensive ,38.69,90.0,74.0,86.0
Yasaka Ma Lin Extra Offensive - Chinese ...,38.69,90.0,74.0,86.0
Yasaka Ma Lin Extra Special ,59.99,90.0,74.0,90.0
Yasaka Ma Lin Extra Special - Chinese Pe...,72.95,90.0,74.0,88.0
Yasaka Ma Lin Max Carbon - Chinese Penho...,72.95,100.0,67.0,90.0
Yasaka Ma Lin Soft Carbon ,59.95,92.0,83.0,89.0
Yasaka Ma Lin Soft Carbon - Chinese Penh...,59.95,92.0,83.0,89.0
Yasaka Max Carbon 3D,45.25,100.0,69.0,90.0
Yasaka Max Carbon 3D - Chinese Penhold,45.25,100.0,69.0,90.0
Yasaka MaxWood,49.95,93.0,70.0,90.0
Yasaka Overdrive,45.95,89.0,75.0,90.0
Yasaka Silver All Wood,41.95,82.0,85.0,87.0
Yasaka Silver Carbon,59.95,99.0,70.0,90.0
Yasaka Silver Line 9 Wood,41.95,102.0,70.0,90.0
Yasaka Sweden Classic,38.69,68.0,92.0,82.0
Yasaka Sweden EK Carbon,55.95,93.0,75.0,90.0
Yasaka Sweden EK Carbon - Chinese Penhol...,55.95,93.0,75.0,90.0
Yasaka Sweden Extra ,35.95,82.0,71.0,84.0
Yasaka Sweden Extra - Chinese Penhold,35.95,82.0,71.0,86.0
Yasaka Sweden Guardian,42.95,73.0,93.0,85.0
Yasaka Synergy,49.95,98.0,69.0,82.0
Yasaka Synergy - Chinese Penhold,39.95,98.0,69.0,82.0
